subject_ID,fit,task,human,human_draws,n_games,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,gap_full
16,short,SB-XT-RPh----,0.875,3.7375,80,1.175,3.975,0.7875,0.025,0.30000000000000004
16,long,LBE-T-RPhCL--,1.15,6.6625,80,1.6125,9.075,0.9,0.0125,0.46250000000000013
16,combined,C-EXT-RPHC-UK,1.0125,5.2,160,1.39375,6.5,0.84375,0.01875,0.3812500000000001
11,short,SB-XT-RPh----,1.1,4.0625,80,1.225,3.9875,0.8,0.025,0.125
11,long,LBE-T-RPhCL--,1.3,8.425,80,1.6625,9.3,0.9125,0.0125,0.36250000000000004
11,combined,C-EXT-RPHC-UK,1.2,6.24375,160,1.44375,6.4875,0.85625,0.01875,0.24375000000000013
83,short,SB-XT-RPh----,0.825,3.675,80,1.175,3.925,0.7875,0.025,0.3500000000000001
83,long,LBE-T-RPhCL--,0.8625,5.775,80,1.6125,9.125,0.9,0.0125,0.75
83,combined,C-EXT-RPHC-UK,0.84375,4.725,160,1.39375,6.55625,0.84375,0.01875,0.55
66,short,SB-XT-RPh----,0.925,3.775,80,1.225,4.0,0.8,0.025,0.30000000000000004
66,long,LBE-T-RPhCL--,1.1625,7.825,80,1.6625,9.1125,0.9125,0.0125,0.5
66,combined,C-EXT-RPHC-UK,1.04375,5.8,160,1.44375,6.51875,0.85625,0.01875,0.40000000000000013
25,short,SB-XT-RPh----,0.925,4.0375,80,1.225,3.9625,0.8,0.025,0.30000000000000004
25,long,LBE-T-RPhCL--,0.8,5.825,80,1.6125,9.0625,0.9,0.0125,0.8125
25,combined,C-EXT-RPHC-UK,0.8625,4.93125,160,1.41875,6.5375,0.85,0.01875,0.5562499999999999
2,short,SB-XT-RPh----,0.9875,3.95,80,1.175,4.0625,0.7875,0.025,0.1875
